emission 2011 (tons);lat;lon
4.22911;49.1;-0.3
4.50538;49.2;-0.3
9.97032;43.2;-0.4
18.3225;43.3;-0.4
0.0659021;43.4;-0.4
0.168082;43.7;-0.4
0.370511;43.8;-0.4
0.382103;44.0;-0.4
0.161857;44.5;-0.4
2.5719;44.6;-0.4
1.43568;44.7;-0.4
1.25429;44.8;-0.4
2.55301;44.9;-0.4
0.07041;45.0;-0.4
0.294091;45.1;-0.4
3.77574;45.6;-0.4
0.753044;45.7;-0.4
0.269404;45.8;-0.4
0.146616;46.1;-0.4
0.335306;46.2;-0.4
2.30571;46.3;-0.4
0.0779233;46.4;-0.4
0.171302;46.6;-0.4
0.233126;47.1;-0.4
0.0708394;47.3;-0.4
0.909105;47.4;-0.4
0.429329;47.5;-0.4
0.183753;47.6;-0.4
0.577448;47.7;-0.4
2.506;47.8;-0.4
0.382533;48.1;-0.4
0.113343;48.2;-0.4
1.0188;48.5;-0.4
0.257168;48.6;-0.4
1.01708;49.0;-0.4
30.5137;49.1;-0.4
8.17121;49.2;-0.4
1.58981;49.3;-0.4
0.24944;43.0;-0.5
0.288724;43.1;-0.5
0.486645;43.2;-0.5
4.86752;43.3;-0.5
0.170014;43.5;-0.5
0.423319;43.7;-0.5
4.59533;43.8;-0.5
0.724493;43.9;-0.5
0.182465;44.4;-0.5
1.376;44.6;-0.5
2.95829;44.7;-0.5
5.29556;44.8;-0.5
5.84146;44.9;-0.5
1.7375;45.0;-0.5
0.836548;45.1;-0.5
0.376522;45.2;-0.5
0.737588;45.4;-0.5
0.150051;45.7;-0.5
0.26554;46.1;-0.5
1.40069;46.2;-0.5
11.5558;46.3;-0.5
0.104756;46.4;-0.5
0.177957;46.7;-0.5
1.27146;46.8;-0.5
0.163145;46.9;-0.5
0.201141;47.2;-0.5
1.20019;47.3;-0.5
3.72529;47.4;-0.5
1.71195;47.5;-0.5
1.15361;47.6;-0.5
0.306327;47.7;-0.5
0.719556;48.1;-0.5
0.50575;48.5;-0.5
0.111411;48.6;-0.5
0.343464;48.9;-0.5
0.329725;49.0;-0.5
5.57098;49.1;-0.5
1.72032;49.2;-0.5
1.64519;49.3;-0.5
0.121715;43.1;-0.6
1.41121;43.3;-0.6
0.113343;43.4;-0.6
0.358919;43.6;-0.6
0.590757;43.7;-0.6
2.80202;43.8;-0.6
0.379957;43.9;-0.6
0.0796406;44.4;-0.6
0.866816;44.6;-0.6
14.1125;44.7;-0.6
61.6807;44.8;-0.6
2.6129;44.9;-0.6
0.80993;45.0;-0.6
0.31384;45.1;-0.6
0.241712;45.2;-0.6
0.129443;45.4;-0.6
0.506609;45.5;-0.6
0.430832;45.7;-0.6
1.41936;45.9;-0.6
0.11549;46.0;-0.6
0.783741;46.2;-0.6
1.19783;46.3;-0.6
0.184397;46.4;-0.6
0.417094;46.7;-0.6
0.632617;46.8;-0.6
0.474409;46.9;-0.6
0.427397;47.1;-0.6
0.291944;47.2;-0.6
1.4668;47.3;-0.6
35.577;47.4;-0.6
1.43847;47.5;-0.6
0.458953;47.6;-0.6
0.333589;47.9;-0.6
0.355055;48.1;-0.6
0.229262;48.6;-0.6
4.17244;48.7;-0.6
1.27189;48.8;-0.6
0.266614;49.0;-0.6
1.63338;49.1;-0.6
0.567788;49.2;-0.6
0.418811;49.3;-0.6
2.32697;43.1;-0.7
0.0785673;43.2;-0.7
1.63639;43.3;-0.7
0.354841;43.4;-0.7
0.358705;43.6;-0.7
0.134165;43.9;-0.7
0.326505;44.4;-0.7
0.23055;44.6;-0.7
17.3067;44.7;-0.7
44.374;44.8;-0.7
7.4538;44.9;-0.7
0.674906;45.0;-0.7
1.38266;45.1;-0.7
0.245147;45.2;-0.7
0.173449;45.5;-0.7
0.311049;45.6;-0.7
5.32755;45.7;-0.7
0.18225;45.8;-0.7
0.417094;46.1;-0.7
0.34239;46.3;-0.7
0.177098;46.4;-0.7
0.657733;46.8;-0.7
0.0813579;46.9;-0.7
0.441565;47.1;-0.7
0.771076;47.3;-0.7
4.128;47.4;-0.7
2.55666;47.5;-0.7
0.111196;47.7;-0.7
0.343034;47.8;-0.7
0.334018;48.0;-0.7
2.03824;48.2;-0.7
0.95719;48.3;-0.7
0.184826;48.4;-0.7
0.525929;48.5;-0.7
0.133736;48.7;-0.7
1.15211;49.0;-0.7
0.140605;49.1;-0.7
1.51532;49.2;-0.7
0.11828;49.3;-0.7
48045.7;53.5;-0.7
0.116134;43.3;-0.8
1.79116;43.4;-0.8
0.131804;43.5;-0.8
0.156061;43.7;-0.8
0.149836;44.1;-0.8
0.290656;44.4;-0.8
0.234843;44.5;-0.8
0.430832;44.6;-0.8
2.89347;44.7;-0.8
10.4359;44.8;-0.8
1.62931;44.9;-0.8
0.524641;45.0;-0.8
0.554908;45.1;-0.8
0.252016;45.2;-0.8
0.233985;45.7;-0.8
0.35527;45.8;-0.8
0.508755;46.0;-0.8
0.7685;46.1;-0.8
0.153485;46.2;-0.8
0.732007;46.4;-0.8
0.55684;46.6;-0.8
0.198565;46.7;-0.8
0.508755;46.9;-0.8
0.981018;47.0;-0.8
0.612224;47.1;-0.8
1.01429;47.2;-0.8
1.29314;47.3;-0.8
0.840198;47.4;-0.8
0.227545;47.5;-0.8
0.482137;47.6;-0.8
0.114416;47.7;-0.8
2.64145;47.8;-0.8
0.158852;47.9;-0.8
11.2444;48.0;-0.8
0.93787;48.1;-0.8
0.223251;48.7;-0.8
1.74222;49.2;-0.8
0.353982;49.3;-0.8
0.845779;43.2;-0.9
0.0916618;43.4;-0.9
0.158852;43.6;-0.9
0.135883;43.7;-0.9
0.556411;43.8;-0.9
0.22411;44.0;-0.9
0.663314;44.5;-0.9
0.966206;44.6;-0.9
0.188046;44.8;-0.9
0.440707;44.9;-0.9
0.619522;45.0;-0.9
0.461958;45.1;-0.9
0.259959;45.5;-0.9
0.162931;45.7;-0.9
0.344966;45.8;-0.9
0.984238;45.9;-0.9
0.224539;46.0;-0.9
0.270048;46.1;-0.9
0.979086;46.2;-0.9
0.133092;46.3;-0.9
2.26192;46.4;-0.9
0.162931;46.6;-0.9
0.8417;46.7;-0.9
0.564139;46.8;-0.9
1.01386;46.9;-0.9
8.76025;47.0;-0.9
0.900089;47.1;-0.9
0.116134;47.2;-0.9
0.923702;47.3;-0.9
0.134165;47.4;-0.9
0.526143;47.5;-0.9
1.48806;47.6;-0.9
0.162716;47.9;-0.9
3.07722;48.0;-0.9
0.197921;48.1;-0.9
0.45788;48.4;-0.9
2.11724;48.8;-0.9
0.343464;49.0;-0.9
0.292159;49.2;-0.9
0.271551;43.3;-1.0
0.546107;43.4;-1.0
0.570793;43.5;-1.0
0.682634;43.6;-1.0
0.264682;43.7;-1.0
0.400994;44.0;-1.0
0.0850072;44.1;-1.0
0.218529;44.2;-1.0
0.0759913;44.5;-1.0
3.06348;44.6;-1.0
0.0959551;44.9;-1.0
0.414732;45.2;-1.0
0.464749;45.3;-1.0
0.99218;45.5;-1.0
2.17069;45.6;-1.0
0.248152;45.7;-1.0
0.730719;45.8;-1.0
6.48566;45.9;-1.0
0.634978;46.0;-1.0
0.923273;46.1;-1.0
0.332945;46.2;-1.0
0.459597;46.3;-1.0
0.113987;46.4;-1.0
0.323285;46.7;-1.0
0.299887;46.8;-1.0
1.5151;46.9;-1.0
3.38569;47.0;-1.0
2.07066;47.1;-1.0
0.503818;47.2;-1.0
0.357202;47.3;-1.0
0.334018;47.4;-1.0
0.116563;47.6;-1.0
0.299243;47.7;-1.0
0.787819;47.8;-1.0
0.262106;47.9;-1.0
0.193413;48.0;-1.0
0.706891;48.1;-1.0
0.890429;48.2;-1.0
0.261676;48.6;-1.0
0.387684;48.7;-1.0
0.304395;48.8;-1.0
0.737373;49.0;-1.0
0.411298;43.3;-1.1
0.0770646;43.5;-1.1
3.4971;43.6;-1.1
5.16505;43.7;-1.1
0.737803;44.3;-1.1
0.528505;44.4;-1.1
5.37155;44.6;-1.1
3.18605;44.7;-1.1
0.199638;45.1;-1.1
0.107332;45.4;-1.1
0.0306971;45.5;-1.1
6.06278;45.6;-1.1
0.461958;45.7;-1.1
0.219173;45.8;-1.1
1.98007;45.9;-1.1
1.8751;46.0;-1.1
3.44666;46.1;-1.1
0.976295;46.2;-1.1
0.519918;46.3;-1.1
0.184612;46.4;-1.1
0.280137;46.5;-1.1
0.839339;46.6;-1.1
0.185685;46.7;-1.1
2.35573;46.8;-1.1
0.835904;46.9;-1.1
0.414732;47.0;-1.1
0.719771;47.1;-1.1
0.821092;47.2;-1.1
0.748965;47.3;-1.1
0.60514;47.5;-1.1
0.38103;47.7;-1.1
0.294735;48.1;-1.1
0.735227;48.5;-1.1
0.242356;48.8;-1.1
0.135024;48.9;-1.1
0.6309;49.0;-1.1
2.38042;49.1;-1.1
0.183968;49.3;-1.1
44155.8;54.6;-1.1
0.187402;43.4;-1.2
0.523567;43.5;-1.2
0.110123;43.6;-1.2
0.224325;43.7;-1.2
0.379742;44.2;-1.2
0.795333;44.3;-1.2
0.435555;44.4;-1.2
0.636696;44.5;-1.2
6.5462;44.6;-1.2
1.78837;44.7;-1.2
0.232697;44.9;-1.2
0.183968;45.5;-1.2
0.189764;45.6;-1.2
1.41335;45.7;-1.2
1.3863;45.8;-1.2
0.0197492;45.9;-1.2
0.100463;46.0;-1.2
17.6317;46.1;-1.2
2.66871;46.2;-1.2
0.399706;46.3;-1.2
2.21384;46.4;-1.2
0.184182;46.6;-1.2
0.328437;46.7;-1.2
0.474838;46.8;-1.2
0.464749;46.9;-1.2
1.35024;47.0;-1.2
0.600847;47.1;-1.2
0.392192;47.2;-1.2
2.22436;47.3;-1.2
0.296452;47.4;-1.2
0.374161;47.5;-1.2
0.314484;47.7;-1.2
0.642921;48.0;-1.2
0.75197;48.1;-1.2
2.67322;48.3;-1.2
0.633261;48.4;-1.2
0.075562;48.5;-1.2
0.242571;48.7;-1.2
0.182465;48.9;-1.2
0.234414;49.0;-1.2
2.17047;49.1;-1.2
0.408936;49.3;-1.2
3930.43;54.5;-1.2
0.00258495;32.0;-1.3
0.0418223;32.1;-1.3
0.478917;43.1;-1.3
0.88678;43.6;-1.3
0.575516;44.1;-1.3
0.389402;44.2;-1.3
0.402711;44.4;-1.3
1.1227;44.6;-1.3
0.0680487;44.7;-1.3
0.56006;45.8;-1.3
0.152627;45.9;-1.3
5.12662;46.1;-1.3
0.252446;46.3;-1.3
0.0796406;46.4;-1.3
0.308259;46.5;-1.3
0.24665;46.6;-1.3
0.437701;46.7;-1.3
0.453587;46.8;-1.3
0.693152;46.9;-1.3
2.94606;47.0;-1.3
1.44813;47.1;-1.3
0.245362;47.2;-1.3
1.26652;47.3;-1.3
0.363213;47.4;-1.3
0.765494;47.9;-1.3
2.48582;48.1;-1.3
2.09513;48.3;-1.3
0.128799;48.5;-1.3
0.255451;48.6;-1.3
0.866387;48.8;-1.3
0.265326;49.0;-1.3
0.0976724;49.1;-1.3
0.301819;49.2;-1.3
1.05486;49.3;-1.3
0.251802;49.5;-1.3
0.135239;49.6;-1.3
1.39167;43.3;-1.4
1.16606;43.4;-1.4
0.303107;43.5;-1.4
2.52338;43.6;-1.4
0.978656;43.7;-1.4
0.202858;43.8;-1.4
0.550186;45.9;-1.4
1.57886;46.1;-1.4
0.262106;46.2;-1.4
0.341961;46.3;-1.4
0.183324;46.4;-1.4
0.376093;46.5;-1.4
1.00098;46.6;-1.4
1.16541;46.7;-1.4
0.489865;46.8;-1.4
3.03278;46.9;-1.4
1.63575;47.0;-1.4
1.94679;47.1;-1.4
2.34328;47.2;-1.4
0.485357;47.3;-1.4
0.474838;47.4;-1.4
0.161428;47.6;-1.4
1.69499;47.7;-1.4
0.168512;47.8;-1.4
0.48042;47.9;-1.4
0.622742;48.0;-1.4
0.703456;48.1;-1.4
0.343678;48.2;-1.4
0.129872;48.3;-1.4
0.464534;48.4;-1.4
0.393695;48.5;-1.4
2.64295;48.6;-1.4
0.283357;48.7;-1.4
0.523353;49.4;-1.4
0.192554;49.5;-1.4
0.0912325;49.6;-1.4
2.39351;43.3;-1.5
11.1557;43.4;-1.5
7.91254;43.5;-1.5
2.41712;43.6;-1.5
0.599988;43.7;-1.5
0.318777;46.1;-1.5
0.440707;46.3;-1.5
0.720629;46.4;-1.5
0.382318;46.5;-1.5
9.509;46.6;-1.5
2.54549;46.7;-1.5
0.072342;46.8;-1.5
0.339385;46.9;-1.5
1.11347;47.0;-1.5
7.27069;47.1;-1.5
8.83925;47.2;-1.5
0.940875;47.3;-1.5
0.712472;47.4;-1.5
0.196204;47.6;-1.5
0.133951;47.7;-1.5
0.664602;47.9;-1.5
0.859947;48.0;-1.5
1.60827;48.1;-1.5
0.399276;48.2;-1.5
0.119354;48.3;-1.5
0.155847;48.4;-1.5
0.205219;48.7;-1.5
1.86715;49.0;-1.5
0.590972;49.1;-1.5
1.2676;49.5;-1.5
0.147689;49.6;-1.5
0.806925;43.3;-1.6
12.9685;43.4;-1.6
2.21405;43.5;-1.6
0.165506;46.2;-1.6
0.513478;46.4;-1.6
0.199853;46.5;-1.6
0.87712;46.6;-1.6
0.808427;46.7;-1.6
0.34883;46.8;-1.6
0.837407;46.9;-1.6
1.2618;47.0;-1.6
26.6483;47.1;-1.6
51.9212;47.2;-1.6
2.03438;47.3;-1.6
0.419026;47.4;-1.6
1.14674;47.9;-1.6
2.18335;48.0;-1.6
3.20881;48.1;-1.6
1.41657;48.2;-1.6
0.246435;48.3;-1.6
0.333589;48.5;-1.6
0.550186;48.7;-1.6
3.97001;48.8;-1.6
0.071698;48.9;-1.6
0.48042;49.0;-1.6
0.472906;49.2;-1.6
0.190622;49.3;-1.6
0.130301;49.5;-1.6
3.00337;49.6;-1.6
6699.19;55.1;-1.6
0.00758025;34.0;-1.7
4.62817;43.3;-1.7
1.22488;43.4;-1.7
0.747463;46.4;-1.7
0.388114;46.5;-1.7
0.683278;46.6;-1.7
1.14073;46.7;-1.7
0.326934;46.8;-1.7
0.182894;46.9;-1.7
1.19761;47.0;-1.7
10.0029;47.1;-1.7
13.8663;47.2;-1.7
1.31976;47.3;-1.7
0.573584;47.4;-1.7
0.215094;47.5;-1.7
0.184826;47.6;-1.7
1.28284;47.8;-1.7
1.64154;47.9;-1.7
14.674;48.0;-1.7
27.8519;48.1;-1.7
1.08019;48.2;-1.7
0.0959551;48.3;-1.7
0.413659;48.8;-1.7
0.186973;49.0;-1.7
0.0665461;49.3;-1.7
0.505965;49.4;-1.7
0.194701;49.5;-1.7
13.1087;49.6;-1.7
0.0290114;34.4;-1.8
2.24496;43.3;-1.8
5.07038;46.4;-1.8
3.12208;46.5;-1.8
0.434267;46.6;-1.8
0.423963;46.8;-1.8
0.160355;46.9;-1.8
0.159067;47.0;-1.8
2.28661;47.1;-1.8
2.72946;47.2;-1.8
0.768714;47.3;-1.8
0.99583;47.4;-1.8
0.295808;47.5;-1.8
0.110123;47.8;-1.8
1.3204;47.9;-1.8
11.0786;48.0;-1.8
14.7545;48.1;-1.8
1.76025;48.2;-1.8
0.41924;48.4;-1.8
1.03082;48.5;-1.8
0.123003;48.6;-1.8
0.249226;49.3;-1.8
0.109479;49.5;-1.8
0.542243;49.6;-1.8
0.00276335;34.3;-1.9
0.00116911;34.4;-1.9
0.821096;34.6;-1.9
0.175245;34.7;-1.9
0.644209;46.4;-1.9
0.274341;46.5;-1.9
2.00304;46.6;-1.9
0.479561;46.7;-1.9
3.66325;46.8;-1.9
0.748965;46.9;-1.9
0.613297;47.0;-1.9
0.525499;47.1;-1.9
0.326076;47.2;-1.9
0.526143;47.3;-1.9
0.232911;47.4;-1.9
0.16615;47.5;-1.9
0.117422;47.6;-1.9
0.512834;47.8;-1.9
0.828606;47.9;-1.9
2.22393;48.0;-1.9
2.74234;48.1;-1.9
0.486001;48.2;-1.9
0.599129;48.3;-1.9
0.203502;48.5;-1.9
1.25493;48.6;-1.9
0.530222;49.5;-1.9
0.109908;49.6;-1.9
0.0145949;29.2;-10.0
0.0291519;29.3;-10.0
0.00568993;29.4;-10.0
0.0120403;29.6;-10.0
0.00868862;29.7;-10.0
0.465633;28.9;-10.1
0.00775485;29.0;-10.1
0.00313534;29.1;-10.1
0.0273678;29.5;-10.1
0.027695;15.3;-10.2
0.00212566;28.9;-10.2
0.0048131;29.1;-10.2
0.086427;29.3;-10.2
0.00509019;29.4;-10.2
0.244703;15.4;-10.3
0.00519647;29.0;-10.3
0.0095237;29.1;-10.3
0.00193966;28.8;-10.4
0.00465747;28.4;-10.6
0.00230786;28.5;-10.6
0.00861439;15.2;-10.9
0.00460433;28.5;-10.9
2.87981;25.8;-100.2
35.8238;25.3;-100.3
3.70642;39.1;-100.3
0.0915703;35.3;-100.5
0.0719952;22.0;-101.0
149832.0;26.5;-101.3
68.3923;17.9;-102.2
2.61629;38.1;-104.3
2.07686;50.2;-104.4
0.0719952;28.3;-106.1
0.545061;31.7;-106.5
0.115381;28.4;-11.1
0.173074;28.4;-11.2
0.557154;16.6;-11.4
0.0355137;28.4;-11.4
0.0173838;16.6;-11.5
0.177215;15.5;-11.6
0.0587835;15.7;-11.6
0.140922;15.9;-11.6
0.00567767;16.7;-11.6
0.0154423;18.3;-11.6
0.0322958;20.9;-11.7
0.0601458;15.5;-11.8
0.268156;16.8;-11.8
0.0290165;18.4;-11.8
0.0110861;14.8;-11.9
0.1075;15.0;-11.9
0.0305093;15.1;-11.9
0.137431;15.3;-11.9
0.0141534;16.8;-11.9
0.0766322;17.0;-11.9
2.18024;41.5;-112.0
5.23259;32.2;-112.3
0.0228729;53.3;-113.3
2.18024;35.1;-114.0
9550.19;48.2;-114.2
10563.3;47.4;-117.3
0.0768362;15.8;-12.0
0.0213728;18.4;-12.0
0.0973851;14.7;-12.1
0.0475994;14.8;-12.1
0.0305419;15.2;-12.1
0.114671;15.3;-12.1
0.103128;15.5;-12.1
0.0714603;15.8;-12.1
0.0344576;15.9;-12.1
0.102345;16.5;-12.1
0.00827868;28.0;-12.1
0.00696657;14.7;-12.2
0.0189419;14.8;-12.2
0.0184769;14.9;-12.2
0.288909;15.1;-12.2
0.101268;15.6;-12.2
0.0629846;15.9;-12.2
0.125496;16.1;-12.2
0.140971;14.7;-12.3
0.0459761;15.2;-12.3
0.0356078;15.3;-12.3
0.103185;15.4;-12.3
0.0307622;15.5;-12.3
0.0133947;15.8;-12.3
0.0480644;17.0;-12.3
0.0421746;17.2;-12.3
0.0210873;17.5;-12.3
0.0121058;17.9;-12.3
0.0340252;14.8;-12.4
0.0226862;15.3;-12.4
0.0407144;15.5;-12.4
0.0181832;15.6;-12.4
0.0210873;17.3;-12.4
0.0428272;17.4;-12.4
0.12371;18.1;-12.4
0.0423949;20.4;-12.4
0.0138923;14.8;-12.5
0.0147163;14.9;-12.5
0.0314637;15.2;-12.5
0.0797158;15.5;-12.5
0.100819;15.7;-12.5
0.0421746;17.4;-12.5
0.410228;22.7;-12.5
0.0382264;15.0;-12.6
0.104262;15.2;-12.6
0.00520453;15.5;-12.6
0.104384;16.0;-12.6
0.0275971;15.0;-12.7
0.045454;15.5;-12.7
0.306684;16.1;-12.7
0.095672;15.1;-12.8
0.0489781;15.2;-12.8
0.173373;15.3;-12.9
0.0110617;15.4;-12.9
0.135114;15.5;-12.9
0.144373;17.5;-12.9
9157.49;45.4;-120.5
11808.4;47.4;-120.5
4527.13;45.3;-122.3
2893.48;47.1;-122.3
3.66281;47.3;-122.3
5834.96;45.3;-122.4
14621.5;48.4;-122.4
3.54944;45.3;-122.5
11562.5;46.0;-122.6
3.05234;45.1;-123.1
4661.4;44.5;-123.2
23045.1;54.0;-128.4
0.00764364;15.3;-13.0
0.0324427;15.5;-13.0
0.0398742;15.7;-13.0
0.0500793;20.5;-13.0
0.0314066;27.9;-13.0
0.0504627;15.5;-13.1
0.031374;15.9;-13.1
0.120504;16.2;-13.1
0.175168;17.5;-13.1
0.0239996;20.2;-13.1
0.228159;20.5;-13.1
0.0115266;15.5;-13.2
0.0155728;15.7;-13.2
0.00790469;15.8;-13.2
0.210082;16.2;-13.2
0.0499896;16.4;-13.2
0.0296283;20.0;-13.2
0.00682789;20.4;-13.2
0.0136802;20.5;-13.2
0.0575843;15.6;-13.3
0.0307459;15.7;-13.3
0.00529426;20.2;-13.3
0.0155728;15.9;-13.4
0.122241;16.0;-13.4
0.0195455;19.9;-13.4
0.296903;16.1;-13.5
0.178178;16.1;-13.6
0.0104009;16.2;-13.6
0.0045764;19.8;-13.6
0.0950275;16.1;-13.7
0.0487496;16.2;-13.7
0.918283;65.1;-13.7
0.0834193;16.1;-13.8
0.071909;16.2;-13.8
0.0667126;16.3;-13.8
0.623328;65.1;-13.8
0.0430312;16.1;-13.9
0.0413752;16.2;-13.9
0.0508543;16.5;-13.9
0.0798381;17.0;-13.9
0.0204021;16.2;-14.0
0.106938;16.3;-14.0
0.0800258;16.9;-14.0
0.201272;17.0;-14.0
0.0247664;17.3;-14.0
0.0618833;16.3;-14.1
0.0622994;16.4;-14.1
0.0396866;16.6;-14.1
0.00996039;16.9;-14.1
0.443885;65.2;-14.1
0.0114532;16.4;-14.2
0.0114532;16.5;-14.2
0.02019;16.7;-14.2
0.0618833;17.2;-14.2
0.349201;16.5;-14.3
0.00700735;17.4;-14.3
0.865249;65.0;-14.3
0.0105559;17.1;-14.4
0.0279478;17.2;-14.4
0.138361;19.7;-14.4
1.14713;65.2;-14.4
0.0571927;16.7;-14.5
0.0468;17.5;-14.5
1.0505;65.2;-14.5
0.0286983;16.6;-14.6
0.0285923;16.7;-14.6
0.0400374;16.8;-14.6
0.0443772;17.4;-14.6
0.0147326;17.6;-14.6
0.00889175;17.7;-14.6
0.0517108;16.6;-14.7
0.0506096;17.5;-14.7
0.00850835;16.6;-14.8
0.0369293;16.9;-14.8
0.0422644;17.2;-14.8
0.178471;17.5;-14.8
0.00841861;17.1;-14.9
0.376322;65.7;-14.9
0.0113717;16.6;-15.0
0.0177182;16.7;-15.0
0.00841046;16.9;-15.0
0.0171554;16.6;-15.1
0.012579;17.0;-15.1
0.0542152;17.5;-15.1
0.00995224;17.7;-15.1
0.0246848;16.6;-15.2
0.00854913;16.7;-15.2
0.019774;17.0;-15.2
0.0892193;17.1;-15.2
0.0188114;17.3;-15.2
0.0525755;17.8;-15.2
0.101195;16.9;-15.3
0.00606923;17.3;-15.3
0.0416933;16.5;-15.4
0.0305338;16.6;-15.4
0.0108251;16.8;-15.4
0.0095933;17.8;-15.4
0.0254027;16.5;-15.5
0.0401108;16.6;-15.5
0.0358933;16.7;-15.5
0.0233796;17.9;-15.5
0.0473547;19.4;-15.5
0.0375167;16.5;-15.6
0.0661579;16.9;-15.7
0.154871;16.5;-15.8
0.224496;16.5;-15.9
0.0247419;18.0;-15.9
0.0292612;16.5;-16.0
0.0248153;16.6;-16.0
0.4154;17.9;-16.0
4.33678;18.0;-16.0
3.23035;18.1;-16.0
0.401022;66.4;-16.0
0.0281436;16.6;-16.1
0.0133866;17.1;-16.1
0.0278336;17.9;-16.1
1.00485;18.0;-16.1
0.243512;18.1;-16.1
0.0101643;17.2;-16.2
0.00685236;16.5;-16.3
0.0191132;17.0;-16.3
0.0477952;17.1;-16.3
0.00257779;16.2;-16.4
0.00285515;16.6;-16.4
0.0446872;16.7;-16.4
0.0032304;16.2;-16.5
0.00886728;16.6;-16.5
0.00587345;20.7;-17.1
0.110804;20.8;-17.1
0.959045;20.9;-17.1
0.0257861;21.0;-17.1
1.04324;66.0;-17.4
0.295681;65.5;-18.1
1.77336;65.6;-18.1
2.51147;66.5;-18.1
0.443159;65.5;-18.2
6.46939;65.6;-18.2
2.27028;65.7;-18.2
0.963325;65.9;-18.4
0.379227;65.9;-18.6
0.43662;66.1;-19.0
2.07049;65.7;-19.7
0.13129;32.5;-2.0
0.0559541;33.0;-2.0
0.00407291;34.4;-2.0
0.84414;34.6;-2.0
0.168876;34.7;-2.0
0.0474173;34.8;-2.0
2.00368;46.6;-2.0
1.80082;46.7;-2.0
0.573155;46.8;-2.0
0.144899;46.9;-2.0
0.328008;47.0;-2.0
0.64979;47.1;-2.0
0.189334;47.2;-2.0
1.66365;47.3;-2.0
0.205649;47.4;-2.0
0.121715;47.5;-2.0
0.211874;47.8;-2.0
0.383176;48.0;-2.0
2.51179;48.1;-2.0
0.288939;48.2;-2.0
0.22089;48.4;-2.0
1.1725;48.5;-2.0
7.32135;48.6;-2.0
0.088898;34.0;-2.1
0.0142647;34.4;-2.1
0.0193549;34.5;-2.1
0.00630865;34.7;-2.1
0.0337562;34.9;-2.1
0.98295;46.7;-2.1
0.291085;46.8;-2.1
0.587323;46.9;-2.1
0.511761;47.0;-2.1
0.883131;47.1;-2.1
1.15468;47.2;-2.1
1.3599;47.3;-2.1
1.34402;47.4;-2.1
0.322426;47.5;-2.1
2.02236;47.6;-2.1
0.150909;47.9;-2.1
0.599773;48.1;-2.1
0.189549;48.2;-2.1
4.6915;48.4;-2.1
1.41507;48.5;-2.1
5.34215;48.6;-2.1
0.00212566;34.0;-2.2
0.0370054;34.2;-2.2
